team,role,headcount,monthly_cost,start_month,status,funding_basis,requisition_id,manager,location,source_system
Mission Assurance,Avionics Engineer 7,2,35550,2026-02,planned,Starship milestone,SX-REQ-0053,Tim Hughes,Vandenberg CA,PeopleRoster
Finance,Mission Manager 7,2,36750,2026-02,planned,Starship milestone,SX-REQ-0054,Elon Musk,Redmond WA,PeopleRoster
People Operations,Launch Director 7,2,37950,2026-02,planned,Starship milestone,SX-REQ-0055,Gwynne Shotwell,Austin TX,PeopleRoster
Government Relations,Starlink Network Engineer 7,2,39150,2026-02,planned,Starship milestone,SX-REQ-0056,Mark Juncosa,Seattle WA,PeopleRoster
Engineering,Finance Manager 8,3,32500,2026-03,filled,security blocker,SX-REQ-0057,Elon Musk,Hawthorne CA,PeopleRoster
Launch Operations,Security Engineer 8,3,33700,2026-03,filled,security blocker,SX-REQ-0058,Gwynne Shotwell,Boca Chica TX,PeopleRoster
Starlink,Propulsion Engineer 8,3,34900,2026-03,filled,security blocker,SX-REQ-0059,Mark Juncosa,Cape Canaveral FL,PeopleRoster
Starship Program,Avionics Engineer 8,3,36100,2026-03,filled,security blocker,SX-REQ-0060,Lee Rosen,Vandenberg CA,PeopleRoster
Mission Assurance,Mission Manager 8,3,37300,2026-03,filled,security blocker,SX-REQ-0061,Tim Hughes,Redmond WA,PeopleRoster
Finance,Launch Director 8,3,38500,2026-03,filled,security blocker,SX-REQ-0062,Elon Musk,Austin TX,PeopleRoster
