entity,export_id,pipeline_snapshot,prepared_by,opportunity_id,name,account,stage,arr,probability,weighted_arr,close_date,owner,region,next_step
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01018,Lattice Analytics Upgrade,Harborline,Procurement,264000,0.65,171600,2026-11-13,N. Patel,East,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01019,Lattice Enterprise Launch,Greenfork Retailers,Contracting,349000,0.82,286180,2026-12-16,S. Avery,Enterprise,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01020,Lattice Platform Expansion,Canyon Group,Discovery,434000,0.25,108500,2026-08-19,A. Rivera,West,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01021,Lattice Automation Rollout,Maple Network,Technical validation,519000,0.45,233550,2026-09-22,J. Chen,Central,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01022,Lattice Analytics Upgrade,Blue Mesa Holdings,Procurement,604000,0.65,392600,2026-10-25,M. Osei,East,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01023,Lattice Enterprise Launch,Redwood Cooperative,Contracting,689000,0.82,564980,2026-11-11,N. Patel,Enterprise,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01024,Lattice Platform Expansion,Silver Harbor,Discovery,774000,0.25,193500,2026-12-14,S. Avery,West,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01025,Lattice Automation Rollout,North Pier,Technical validation,859000,0.45,386550,2026-08-17,A. Rivera,Central,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01026,Lattice Analytics Upgrade,Orchard Depot,Procurement,944000,0.65,613600,2026-09-20,J. Chen,East,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01027,Lattice Enterprise Launch,Summit Supply,Contracting,306000,0.82,250920,2026-10-23,M. Osei,Enterprise,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01028,Lattice Platform Expansion,Harborline,Discovery,391000,0.25,97750,2026-11-26,N. Patel,West,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01029,Lattice Automation Rollout,Greenfork Retailers,Technical validation,476000,0.45,214200,2026-12-12,S. Avery,Central,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01030,Lattice Analytics Upgrade,Canyon Group,Procurement,561000,0.65,364650,2026-08-15,A. Rivera,East,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01031,Lattice Enterprise Launch,Maple Network,Contracting,646000,0.82,529720,2026-09-18,J. Chen,Enterprise,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01032,Lattice Platform Expansion,Blue Mesa Holdings,Discovery,731000,0.25,182750,2026-10-21,M. Osei,West,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01033,Lattice Automation Rollout,Redwood Cooperative,Technical validation,816000,0.45,367200,2026-11-24,N. Patel,Central,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01034,Lattice Analytics Upgrade,Silver Harbor,Procurement,901000,0.65,585650,2026-12-10,S. Avery,East,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01035,Lattice Enterprise Launch,North Pier,Contracting,986000,0.82,808520,2026-08-13,A. Rivera,Enterprise,technical workshop
