entity,export_id,close_period,source_system,prepared_by,control_status,txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,department,memo
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00046,2026-06-28,4000 Revenue,Northwind Robotics recurring revenue,485100,USD,revenue,,,Revenue,Monthly recurring revenue close entry
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00047,2026-06-08,6500 Software,FleetPulse Telemetry June services,-17100,USD,fleet ops,fleetpulse,FleetPulse Telemetry,Platform,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00048,2026-06-11,6510 Infrastructure,NorthRelay Cloud June services,-3300,USD,infrastructure,northrelay,NorthRelay Cloud,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00049,2026-06-14,6520 Data,MotionGrid Observability June services,-4100,USD,monitoring,motiongrid,MotionGrid Observability,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00050,2026-06-17,6530 Security,Armature Lab Systems June services,-4900,USD,hardware,armature,Armature Lab Systems,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00051,2026-06-20,6600 Recruiting,PickPath Warehouse AI June services,-5800,USD,warehouse,pickpath,PickPath Warehouse AI,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00052,2026-06-23,7100 Operations,VectorNest Data Store June services,-6800,USD,data,vectornest,VectorNest Data Store,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00053,2026-06-26,7200 Professional Services,OrbitDesk CRM June services,-26700,USD,sales,orbitdesk,OrbitDesk CRM,People,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00054,2026-06-04,6500 Software,TrustLoom Security June services,-8800,USD,security,trustloom,TrustLoom Security,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00055,2026-06-07,6510 Infrastructure,DockPilot Integration June services,-7700,USD,integration,dockpilot,DockPilot Integration,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00056,2026-06-10,6520 Data,GearForge Parts June services,-27500,USD,materials,gearforge,GearForge Parts,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00057,2026-06-13,6530 Security,RouteWell Field Ops June services,-9700,USD,field ops,routewell,RouteWell Field Ops,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00058,2026-06-16,6600 Recruiting,SafetyRail Compliance June services,-10800,USD,compliance,safetyrail,SafetyRail Compliance,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00059,2026-06-19,7100 Operations,BrightBay Recruiting June services,-35700,USD,recruiting,brightbay,BrightBay Recruiting,Data,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00060,2026-06-22,7200 Professional Services,CopperKite Consulting June services,-13100,USD,advisory,copperkite,CopperKite Consulting,People,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00061,2026-06-25,6500 Software,SignalCrate Analytics June services,-14300,USD,analytics,signalcrate,SignalCrate Analytics,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00062,2026-06-03,6510 Infrastructure,FulfillWise EDI June services,-12100,USD,operations,fulfillwise,FulfillWise EDI,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00063,2026-06-06,6520 Data,MapleBench QA June services,-13300,USD,quality,maplebench,MapleBench QA,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00064,2026-06-09,6530 Security,PalletPath Support June services,-14500,USD,support,palletpath,PalletPath Support,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00065,2026-06-12,6600 Recruiting,ClearSprocket Finance June services,-43900,USD,finance ops,clearsprocket,ClearSprocket Finance,Revenue,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00066,2026-06-15,7100 Operations,Calibria Model Lab June services,-17100,USD,ml tooling,calibria,Calibria Model Lab,Data,Monthly vendor bill
